2022-03-21 11:35:28,349 server_data.py[line:233] INFO Connected with result code:  0
2022-03-21 11:35:28,349 server_data.py[line:671] INFO {'topic': 'pool_click_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,264 server_data.py[line:671] INFO {'topic': 'control_data_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,294 server_data.py[line:671] INFO {'topic': 'path_confirm_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,324 server_data.py[line:671] INFO {'topic': 'user_lng_lat_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,384 server_data.py[line:671] INFO {'topic': 'start_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,384 server_data.py[line:671] INFO {'topic': 'switch_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,429 server_data.py[line:671] INFO {'topic': 'pool_info_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,444 server_data.py[line:671] INFO {'topic': 'auto_lng_lat_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,474 server_data.py[line:671] INFO {'topic': 'path_planning_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,549 server_data.py[line:671] INFO {'topic': 'base_setting_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,594 server_data.py[line:671] INFO {'topic': 'height_setting_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,624 server_data.py[line:671] INFO {'topic': 'refresh_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,654 server_data.py[line:671] INFO {'topic': 'reset_pool_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,699 server_data.py[line:671] INFO {'topic': 'heart_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,744 server_data.py[line:671] INFO {'topic': 'set_home_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,774 server_data.py[line:671] INFO {'topic': 'poweroff_restart_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,774 server_data.py[line:671] INFO {'topic': 'bank_distance_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,804 server_data.py[line:671] INFO {'topic': 'record_point_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,879 server_data.py[line:671] INFO {'topic': 'record_path_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,954 server_data.py[line:671] INFO {'topic': 'surrounded_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:29,999 server_data.py[line:671] INFO {'topic': 'path_planning_confirm_XXLJC4LCGSCSD1DA004', 'qos': 0}
2022-03-21 11:35:31,679 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:32,969 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:34,259 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:35,489 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:36,869 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:38,249 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:39,449 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:42,104 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:43,349 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:44,624 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:45,944 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:47,234 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:48,539 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:49,889 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:51,164 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:52,439 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:53,789 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:55,034 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:56,369 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
2022-03-21 11:35:57,674 server_data.py[line:603] INFO {'bank_distance_data': {'deviceId': 'XXLJC4LCGSCSD1DA004', 'bank_distance': 18.0}}
