2021-11-01 10:59:00,222 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 10:59:10,568 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 10:59:20,811 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 10:59:30,013 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 10:59:40,243 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 10:59:50,495 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 11:00:00,722 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 11:00:10,950 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 11:00:20,116 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 11:00:30,364 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 11:00:40,595 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 11:00:50,826 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
2021-11-01 11:01:00,002 data_manager.py[line:1629] INFO {'notice_info_': {'distance': '0', 'path_info': '当前目标点:0 目标点总数: 0', 'progress': 0, 'control_info': '等待中', 'draw_info': 0, 'audio_light_info': 0, 'headlight_info': 0, 'side_light_info': 1, 'theta_error': 0, 'mapId': ''}}
